final_cash,total_borrow,total_invest,objective,scenario
5000000.0,4960526.3,369559.648,-47757.464759999995,430
5000000.0,4931844.2149,591326.7390000001,-46361.808454,431
5000000.0,4940754.53,161491.54700000002,-48600.087565,432
5000000.0,5010209.6,322448.591,-48489.85304499999,433
5000000.0,4960978.8,329699.752,-47961.28924,434
5000000.0,5005595.3,351543.15,-48298.237250000006,435
5000000.0,4992777.1,494075.4036,-47457.393982,436
5000000.0,4990966.1,250524.747,-48657.03726499999,437
5000000.0,4910596.5,471915.535,-46746.387325,438
5000000.0,4951871.9,343831.138,-47799.563310000005,439
5000000.0,4988796.924,324482.823,-48265.555125,440
5000000.0,4982666.1,365107.557,-48001.12321500001,441
5000000.0,5022254.7,398536.9,-48229.8625,442
5000000.0,4932758.4,369120.354,-47481.98223000001,443
5000000.0,4949146.1723,438603.124,-47298.446103,444
5000000.0,4928316.0,536702.063,-46599.649685000004,445
5000000.0,5011380.3,456545.891,-47831.073545,446
5000000.0,4978577.9,293206.065,-48319.748674999995,447
5000000.0,5058017.8,263807.2321,-49261.14183949999,448
5000000.0,5041147.6,403335.981,-48394.79609499999,449
5000000.0,4926262.4,435170.812,-47086.769940000006,450
5000000.0,5059375.6,212261.61637,-49532.44791814999,451
5000000.0,4979997.7,520220.189,-47198.87605500001,452
5000000.0,4991964.3,186367.545,-48987.80527499999,453
5000000.0,4980125.7,388036.247,-47861.075765,454
5000000.0,5005959.0807,471214.602,-47703.517797,455
5000000.0,5005563.3,418230.1315,-47964.4823425,456
5000000.0,4966287.2,515451.861,-47085.612695,457
5000000.0,4954849.9,423123.909,-47432.879455,458
5000000.0,4953239.5,252861.3319,-48268.088340500006,459
5000000.0,4992449.1,342836.332,-48210.30933999999,460
5000000.0,5011335.0,335998.35,-48433.35825,461
5000000.0,4934499.5,388586.51399999997,-47402.06243,462
5000000.0,4974843.1,369234.49199999997,-47902.258539999995,463
5000000.0,4936299.1,366275.812,-47531.611939999995,464
5000000.0,5023308.068,231157.301,-49077.294174999995,465
5000000.0,5034495.8,405473.957,-48317.588215,466
5000000.0,4991712.218,357999.6856,-48127.12375200001,467
5000000.0,4995923.9,512195.22500000003,-47398.26287499999,468
5000000.0,4955176.4,326294.804,-47920.28998,469
5000000.0,4975771.6,376968.177,-47872.875114999995,470
5000000.0,4993057.5,454266.775,-47659.24112500001,471
5000000.0,4998499.0,466862.449,-47650.67775499999,472
5000000.0,4940396.3,529708.902,-46755.418490000004,473
5000000.0,4952133.9,339122.555,-47825.726225000006,474
5000000.0,4929767.5,713979.565,-45727.777175,475
5000000.0,4936732.6,484318.145,-46945.73527500001,476
5000000.0,4939505.4,678274.388,-46003.68206000001,477
5000000.0,5027399.9,583589.038,-47356.05381,478
5000000.0,5012809.3,154061.647,-49357.784765,479
5000000.0,4986984.0,352381.3109,-48107.9334455,480
5000000.0,4974682.4,381165.608,-47840.99596,481
